MUNICIPIO,ID_VEREDA,EXIST_VER,FOTO_VER,MAT_baldos,MAT_horm,MAT_balat,MAT_otro,ITIN_ANCHO,FOTO_ITIN1,FOTO_ITIN2,FOTO_ITIN3,TRANSITAB,RIESG_PUNT,PEL_PUNZ,NUM_PUNZ,FOTO_PUN1,FOTO_PUN2,PEL_HUND,NUM_HUND,FOTO_HUN1,FOTO_HUN2,DESNIVEL,FOTO_DES,EXC_PEND,FOTO_PEN,VEHI_OBST,NUM_VEH_OB,FOTO_VHE1,FOTO_VHE2,OBS_MEN_PU,NUM_OBS_ME,FOTO_OBS1,FOTO_OBS2,ELE_ESPECI,ELE_bancos,ELE_monu,ELE_puntos,ELE_juegos,ELE_otros,ELE_otros1,RAMPAS,NUM_RAM,FOT_RAM1,FOT_RAM2,FOT_RAM3,RAM_DIF,FOT_DIF,PADV_RAM,PGUI_RAM,RAM_ENF,ALTURA_DEL,OBSERVACIO,ACCESIB100
C,"29227","2",1629995561960.jpg,"1","0","0","0","0",1629995578987.jpg,,,"0","1","0",,,,"0",,,,"0",,"0",,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,1=12   2=15,,24.00
C,"29228","2",1629994768153.jpg,"1","0","0","0","0",1629994788321.jpg,,,"0","1","0",,,,"0",,,,"0",,"1",1629994845562.jpg,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,1=13   2=14,,24.00
C,"29229","2",1631204192360.jpg,"1","0","0","0","2",,,1631204217416.jpg,"1","1","0",,,,"0",,,,"0",,"0",,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,"2",,53.50
C,"29230","2",,"1","0","0","1","2",,,1631205963349.jpg,"0","1","0",,,,"0",,,,"0",,"1",1631206061802.jpg,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,"2",,41.50
C,"29231","2",,"1","0","0","0","2",,,1631203828629.jpg,"1","1","0",,,,"0",,,,"0",,"1",1631203946234.jpg,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,"3",,53.50
C,"29232","2",1631202319639.jpg,"1","0","0","0","2",,,1631202405452.jpg,"2","0",,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"0",,,,,,,,,,"2",,57.50
C,"29356","2",,"1","0","0","0","2",,,1638449551683.jpg,"2","0",,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"0",,,,,,,,,,1=2,,57.50
C,"29357","2",1638449729068.jpg,"1","1","0","0","2",,,1638449748374.jpg,"1","1","0",,,,"1","3",1638449764243.jpg,,"0",,"0",,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,1=2,,54.75
C,"29358","2",,"1","0","0","0","2",,,1638451309873.jpg,"2","0",,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"0",,,,,,,,,,1=2,,57.50
C,"29359",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29360","2",1638535376903.jpg,"1","0","0","0","2",,,1638535596830.jpg,"2","0",,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"0",,,,,,,,,,1=3,,57.50
C,"29361","2",,"1","0","0","0","1",,1629728195848.jpg,,"0","1","0",,,,"0",,,,"0",,"0",,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,1=10   2=15,,24.00
C,"29362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29407","2",1629304240242.jpg,"1","0","0","0","2",,,1629304259886.jpg,"2","1","0",,,,"0",,,,"0",,"1",1629304303111.jpg,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,1=12   2=12,,57.50
C,"29408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29409","2",1629298766681.jpg,"1","0","0","0","2",,,1629298809691.jpg,"2","1","0",,,,"1","1",,,"0",,"0",,"1","1",1629298848348.jpg,,"0",,,,"0",,,,,,,"0",,,,,,,,,,1=12   2=15,,66.50
C,"29456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29462",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29463",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29571",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29583","2",,"1","0","0","0","2",,,1636565853258.jpg,"2","0",,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"1","2",1636565878146.jpg,1636565896612.jpg,,"0",,"1","0","1","2",,78.75
C,"29584","2",,"1","0","0","0","2",,,1636566427944.jpg,"2","0",,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"1","1",1636566443953.jpg,,,"0",,"1","0","1","2",,78.75
C,"29585","2",,"1","0","0","0","2",,,1636565113674.jpg,"1","1","0",,,,"0",,,,"0",,"0",,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,"3",,53.50
C,"29586","2",1636564337469.jpg,"1","0","0","0","2",,,1636564356486.jpg,"2","0",,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"0",,,,,,,,,,"2",,57.50
C,"29587","2",1636562524142.jpg,"1","0","0","0","2",,,1636562579517.jpg,"2","0",,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"1","2",1636562552787.jpg,1636562561078.jpg,,"0",,"1","0","1","3",,78.75
C,"29589","2",,"1","0","0","0","2",,,1636562177997.jpg,"2","0",,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"0",,,,,,,,,,"2",Hay sección E pero en el formulario no es posible colocarla,57.50
C,"29592","2",1636560533452.jpg,"1","0","0","0","2",,,1636560593872.jpg,"2","1","0",,,,"0",,,,"0",,"1",1636560648008.jpg,"0",,,,"0",,,,"0",,,,,,,"1","1",1636560753819.jpg,,,"0",,"1","0","1","3",,78.75
C,"29593","2",,"1","0","0","0","2",,,1629299341845.jpg,"2","1","0",,,,"1","1",1629299358336.jpg,,"0",,"1",1629299376606.jpg,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,1=13   2=15,,59.75
C,"29594","2",1629471784248.jpg,"1","0","0","0","2",,,1629471793442.jpg,"1","1","0",,,,"0",,,,,,"0",,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,1=11   2=10,Aceptable,53.50
C,"29595","2",,"1","0","0","0","2",,,1629298368528.jpg,"2","0",,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"0",,,,,,,,,,1=18   2=18,,57.50
C,"29596","2",1629473951164.jpg,"1","0","0","0","2",,,1629473972703.jpg,"2","1","1","1",1629473996117.jpg,,"0",,,,"0",,"0",,"1","2",1629474054345.jpg,1629474066636.jpg,"0",,,,"0",,,,,,,"0",,,,,,,,,,1=5   2=17,,65.75
C,"29597","2",,"1","0","0","0","2",,,1629297528908.jpg,"2","0",,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"1","1",1629297602294.jpg,,,"0",,"1","0","1",1=15   2=14,,78.75
C,"29598","2",1629211109516.jpg,"1","0","0","0","0",,,,"1","1","1","4",1629211156959.jpg,,"1","3",,,"1",1633445756173-1_28_29.jpg,"0",,"1","2",1629211200659.jpg,,"1","1",1629211209415.jpg,,"0",,,,,,,"0",,,,,,,,,,1=7   2=9,Regular,39.75
C,"29599","2",,"1","0","0","0","1",,1629296336382.jpg,,"1","1","1","4",1629296355254.jpg,,"1","3",1629296367434.jpg,,"0",,"0",,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,1=20   2=20,En la mitad de cuadra  se termina la vereda,39.75
C,"29600","2",1629212346873.jpg,"1","0","0","0","1",,1629212358894.jpg,,"1","1","0",,,,"1","1",1629212374263.jpg,,"0",,"0",,"1","2",1629212389753.jpg,1629212393902.jpg,"0",,,,"0",,,,,,,"0",,,,,,,,,,1=13   2=13,Regular,38.25
C,"29601","2",,"1","0","0","0","0",1629295377374.jpg,,,"0","1","0",,,,"1","4",1629295405837.jpg,,"0",,"0",,"1","1",1629295426741.jpg,,"0",,,,"1","0","0","1","0","0","0","0",,,,,,,,,,1=12   2=13,,25.25
C,"29602","2",1629214949111.jpg,"1","0","0","0","1",,1629214968094.jpg,,"1","1","0",,,,"1","5",,,"0",,"0",,"1","1",1629215020772.jpg,,"0",,,,"0",,,,,,,"1","1",1629215037871.jpg,,,"0",,"0","0",,1=14   2=16,Regular,57.25
C,"29603","2",1627918627226.jpg,"1","0","0","0","0",1627918734921.jpg,,,"1","1","0",,,,"1","1",,,"0",,"0",,"0",,,,"0",,,,"0",,,,,,,"1","1",1627918873384.jpg,,,"0",,"0","0",,"2",,58.25
C,"29605","2",1627919844727.jpg,"1","0","0","0","2",,,1627919869664.jpg,"1","1","0",,,,"1","3",1627919956348.jpg,,"0",,"1",1627919910681.jpg,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,"3",cuenta con una rampa mal ubicada,54.75
C,"29606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29613","2",,"1","0","0","0","0",1628005245616.jpg,,,"1","0",,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"0",,,,,,,,,,"3",,36.00
C,"29614","2",1627925289003.jpg,"1","0","0","0","0",1633445756173-2_27_23.jpg,,,"1","1","0",,,,"0",,,,"0",,"0",,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,"2",,36.00
C,"29615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29618","2",1634221849662.jpg,"1","0","0","0","0",1634221916587.jpg,,,"1","0",,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"1","1",1634221993981.jpg,,,"0",,"0","0","1","3",,56.00
C,"29619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29620","2",1634220405615.jpg,"1","0","0","0","0",1634220540391.jpg,,,"2","1","0",,,,"1","1",,,"0",,"0",,"0",,,,"0",,,,"0",,,,,,,"1","2",1634220613034.jpg,,,"0",,"1","0","1","3",,63.50
C,"29622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29623",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29697","2",1629993680593.jpg,"1","0","0","0","2",,,1629993703263.jpg,"1","1","0",,,,"0",,,,"0",,"0",,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,1=14   2=15,,53.50
C,"29698","2",1629991495507.jpg,"1","0","0","0","2",,,1629991505239.jpg,"2","0",,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"0",,,,,,,,,,1=18   2=16,,57.50
C,"29700","1",1631201550217.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00
C,"29701","2",1631200532653.jpg,"1","0","0","0","2",,,1631200547401.jpg,"2","1","0",,,,"1","3",,,"0",,"0",,"0",,,,"0",,,,"0",,,,,,,"0",,,,,,,,,,"2",,58.75
